x_tom,y_tom,photo_tom,x_jerry,y_jerry,photo_jerry,pred_x_tom,pred_y_tom,pred_photo_tom,pred_x_jerry,pred_y_jerry,pred_photo_jerry
3,120,58,251,319,58,2,122,59,255,320,59
2,122,59,255,320,59,0,0,60,257,327,60
0,0,60,257,327,60,0,23,61,275,291,61
0,23,61,275,291,61,0,0,62,280,236,62
0,0,62,280,236,62,14,189,63,275,197,63
14,189,63,275,197,63,124,145,64,274,173,64
124,145,64,274,173,64,105,146,65,284,172,65
105,146,65,284,172,65,62,136,66,293,173,66
62,136,66,293,173,66,45,130,67,296,169,67
45,130,67,296,169,67,14,128,68,300,172,68
14,128,68,300,172,68,46,132,69,300,174,69
46,132,69,300,174,69,0,120,70,302,167,70
0,120,70,302,167,70,0,69,71,304,167,71
0,69,71,304,167,71,31,118,72,304,168,72
31,118,72,304,168,72,0,66,73,307,173,73
0,66,73,307,173,73,0,29,74,299,168,74
0,29,74,299,168,74,8,0,75,299,175,75
8,0,75,299,175,75,18,16,76,290,180,76
18,16,76,290,180,76,0,0,77,271,198,77
0,0,77,271,198,77,0,0,78,287,199,78
0,0,78,287,199,78,0,21,79,289,203,79
0,21,79,289,203,79,11,0,80,331,200,80
11,0,80,331,200,80,0,4,81,335,241,81
0,4,81,335,241,81,48,0,82,337,286,82
48,0,82,337,286,82,18,34,83,298,310,83
18,34,83,298,310,83,73,6,84,216,287,84
73,6,84,216,287,84,106,62,85,214,291,85
106,62,85,214,291,85,0,3,86,200,274,86
0,3,86,200,274,86,0,2,87,181,322,87
0,2,87,181,322,87,8,18,88,178,292,88
8,18,88,178,292,88,10,23,89,166,347,89
10,23,89,166,347,89,8,34,90,52,58,90
8,34,90,52,58,90,8,34,91,52,59,91
8,34,91,52,59,91,13,11,92,165,284,92
13,11,92,165,284,92,15,13,93,-1,-1,-1
15,13,93,-1,-1,-1,48,14,94,185,292,94
48,14,94,185,292,94,47,15,95,176,325,95
47,15,95,176,325,95,110,16,96,135,325,96
110,16,96,135,325,96,110,17,97,167,25,97
110,17,97,167,25,97,117,40,98,324,164,98
117,40,98,324,164,98,117,41,99,324,164,99
117,41,99,324,164,99,103,43,100,266,76,100
103,43,100,266,76,100,97,36,101,265,77,101
97,36,101,265,77,101,102,28,102,301,144,102
102,28,102,301,144,102,103,29,103,299,144,103
103,29,103,299,144,103,104,51,104,-1,-1,-1
104,51,104,-1,-1,-1,102,54,105,-1,-1,-1
102,54,105,-1,-1,-1,96,45,106,-1,-1,-1
96,45,106,-1,-1,-1,93,45,107,-1,-1,-1
93,45,107,-1,-1,-1,92,44,108,-1,-1,-1
92,44,108,-1,-1,-1,92,44,109,-1,-1,-1
92,44,109,-1,-1,-1,92,46,110,355,123,110
92,46,110,355,123,110,91,45,111,355,122,111
91,45,111,355,122,111,92,46,112,-1,-1,-1
92,46,112,-1,-1,-1,91,46,113,-1,-1,-1
91,46,113,-1,-1,-1,92,46,114,-1,-1,-1
92,46,114,-1,-1,-1,92,46,115,-1,-1,-1
92,46,115,-1,-1,-1,93,45,116,-1,-1,-1
93,45,116,-1,-1,-1,91,45,117,-1,-1,-1
91,45,117,-1,-1,-1,92,46,118,-1,-1,-1
92,46,118,-1,-1,-1,-1,-1,-1,473,320,119
-1,-1,-1,473,320,119,-1,-1,-1,470,320,120
-1,-1,-1,470,320,120,449,308,121,482,323,121
449,308,121,482,323,121,-1,-1,-1,459,318,122
-1,-1,-1,459,318,122,430,304,123,461,322,123
430,304,123,461,322,123,385,317,124,416,344,124
385,317,124,416,344,124,396,322,125,423,347,125
396,322,125,423,347,125,397,329,126,423,347,126
397,329,126,423,347,126,-1,-1,-1,417,346,127
-1,-1,-1,417,346,127,-1,-1,-1,392,321,128
-1,-1,-1,392,321,128,344,318,129,384,320,129
344,318,129,384,320,129,-1,-1,-1,365,309,130
-1,-1,-1,365,309,130,288,307,131,340,314,131
288,307,131,340,314,131,-1,-1,-1,346,335,132
-1,-1,-1,346,335,132,-1,-1,-1,328,315,133
-1,-1,-1,328,315,133,-1,-1,-1,330,329,134
-1,-1,-1,330,329,134,-1,-1,-1,319,335,135
-1,-1,-1,319,335,135,187,302,136,301,332,136
187,302,136,301,332,136,-1,-1,-1,296,318,137
-1,-1,-1,296,318,137,-1,-1,-1,265,322,138
-1,-1,-1,265,322,138,-1,-1,-1,274,326,139
-1,-1,-1,274,326,139,-1,-1,-1,238,326,140
-1,-1,-1,238,326,140,-1,-1,-1,245,324,141
-1,-1,-1,245,324,141,-1,-1,-1,233,276,142
-1,-1,-1,233,276,142,-1,-1,-1,223,229,143
-1,-1,-1,223,229,143,61,181,144,213,209,144
61,181,144,213,209,144,41,147,145,204,174,145
41,147,145,204,174,145,-1,-1,-1,180,139,146
-1,-1,-1,180,139,146,-1,-1,-1,190,142,147
-1,-1,-1,190,142,147,45,109,148,137,136,148
45,109,148,137,136,148,17,102,149,147,139,149
17,102,149,147,139,149,43,99,150,140,137,150
43,99,150,140,137,150,47,91,151,143,118,151
47,91,151,143,118,151,62,93,152,137,131,152
62,93,152,137,131,152,92,116,153,125,120,153
92,116,153,125,120,153,107,137,154,122,120,154
-1,-1,-1,54,181,156,-1,-1,-1,57,186,157
-1,-1,-1,57,186,157,-1,-1,-1,60,192,158
-1,-1,-1,60,192,158,-1,-1,-1,56,184,159
-1,-1,-1,56,184,159,-1,-1,-1,54,176,160
-1,-1,-1,54,176,160,55,172,161,49,166,161
55,172,161,49,166,161,-1,-1,-1,48,165,162
-1,-1,-1,48,165,162,355,139,163,-1,-1,-1
355,139,163,-1,-1,-1,76,138,164,-1,-1,-1
76,138,164,-1,-1,-1,293,64,165,-1,-1,-1
293,64,165,-1,-1,-1,257,55,166,-1,-1,-1
257,55,166,-1,-1,-1,234,9,167,-1,-1,-1
234,9,167,-1,-1,-1,200,16,168,-1,-1,-1
200,16,168,-1,-1,-1,201,32,169,-1,-1,-1
201,32,169,-1,-1,-1,204,40,170,-1,-1,-1
204,40,170,-1,-1,-1,204,41,171,-1,-1,-1
204,41,171,-1,-1,-1,205,47,172,-1,-1,-1
205,47,172,-1,-1,-1,191,31,173,-1,-1,-1
191,31,173,-1,-1,-1,231,1,174,-1,-1,-1
231,1,174,-1,-1,-1,194,0,175,238,0,175
194,0,175,238,0,175,200,0,176,-1,-1,-1
200,0,176,-1,-1,-1,208,0,177,-1,-1,-1
208,0,177,-1,-1,-1,214,28,178,-1,-1,-1
214,28,178,-1,-1,-1,204,36,179,202,72,179
204,36,179,202,72,179,198,26,180,224,81,180
198,26,180,224,81,180,190,28,181,-1,-1,-1
190,28,181,-1,-1,-1,205,35,182,-1,-1,-1
205,35,182,-1,-1,-1,198,32,183,-1,-1,-1
198,32,183,-1,-1,-1,246,6,184,-1,-1,-1
246,6,184,-1,-1,-1,249,0,185,-1,-1,-1
249,0,185,-1,-1,-1,324,76,186,-1,-1,-1
324,76,186,-1,-1,-1,337,14,187,-1,-1,-1
337,14,187,-1,-1,-1,321,31,188,-1,-1,-1
321,31,188,-1,-1,-1,221,23,189,384,114,189
221,23,189,384,114,189,268,20,190,-1,-1,-1
268,20,190,-1,-1,-1,292,17,191,28,219,191
292,17,191,28,219,191,291,11,192,-1,-1,-1
291,11,192,-1,-1,-1,181,8,193,0,277,193
181,8,193,0,277,193,264,21,194,-1,-1,-1
264,21,194,-1,-1,-1,271,0,195,146,171,195
271,0,195,146,171,195,269,0,196,76,231,196
269,0,196,76,231,196,284,38,197,-1,-1,-1
266,20,199,-1,-1,-1,279,13,200,196,174,200
279,13,200,196,174,200,307,8,201,208,139,201
307,8,201,208,139,201,298,0,202,-1,-1,-1
298,0,202,-1,-1,-1,308,59,203,276,19,203
308,59,203,276,19,203,305,65,204,-1,-1,-1
305,65,204,-1,-1,-1,275,0,205,-1,-1,-1
275,0,205,-1,-1,-1,282,0,206,-1,-1,-1
282,0,206,-1,-1,-1,285,0,207,-1,-1,-1
285,0,207,-1,-1,-1,214,12,208,295,36,208
214,12,208,295,36,208,192,52,209,-1,-1,-1
192,52,209,-1,-1,-1,228,28,210,261,61,210
228,28,210,261,61,210,229,31,211,262,64,211
229,31,211,262,64,211,193,52,212,285,67,212
193,52,212,285,67,212,200,49,213,279,64,213
200,49,213,279,64,213,255,29,214,278,64,214
255,29,214,278,64,214,257,27,215,279,62,215
257,27,215,279,62,215,289,27,216,253,33,216
289,27,216,253,33,216,287,26,217,-1,-1,-1
287,26,217,-1,-1,-1,301,33,218,-1,-1,-1
301,33,218,-1,-1,-1,309,42,219,-1,-1,-1
309,42,219,-1,-1,-1,297,34,220,-1,-1,-1
297,34,220,-1,-1,-1,292,23,221,285,71,221
292,23,221,285,71,221,302,35,222,-1,-1,-1
302,35,222,-1,-1,-1,300,34,223,-1,-1,-1
300,34,223,-1,-1,-1,260,0,224,-1,-1,-1
260,0,224,-1,-1,-1,263,0,225,-1,-1,-1
263,0,225,-1,-1,-1,252,0,226,-1,-1,-1
252,0,226,-1,-1,-1,267,0,227,-1,-1,-1
267,0,227,-1,-1,-1,255,0,228,-1,-1,-1
255,0,228,-1,-1,-1,255,0,229,-1,-1,-1
255,0,229,-1,-1,-1,255,2,230,-1,-1,-1
255,2,230,-1,-1,-1,269,9,231,-1,-1,-1
269,9,231,-1,-1,-1,268,3,232,-1,-1,-1
268,3,232,-1,-1,-1,268,5,233,-1,-1,-1
268,5,233,-1,-1,-1,265,5,234,-1,-1,-1
265,5,234,-1,-1,-1,251,0,235,-1,-1,-1
251,0,235,-1,-1,-1,267,3,236,-1,-1,-1
267,3,236,-1,-1,-1,254,0,237,-1,-1,-1
254,0,237,-1,-1,-1,255,0,238,-1,-1,-1
255,0,238,-1,-1,-1,258,0,239,-1,-1,-1
258,0,239,-1,-1,-1,255,0,240,-1,-1,-1
255,0,240,-1,-1,-1,254,0,241,-1,-1,-1
254,0,241,-1,-1,-1,257,0,242,-1,-1,-1
257,0,242,-1,-1,-1,257,0,243,-1,-1,-1
257,0,243,-1,-1,-1,256,0,244,-1,-1,-1
256,0,244,-1,-1,-1,258,0,245,-1,-1,-1
258,0,245,-1,-1,-1,277,2,246,-1,-1,-1
277,2,246,-1,-1,-1,260,4,247,-1,-1,-1
260,4,247,-1,-1,-1,248,1,248,-1,-1,-1
248,1,248,-1,-1,-1,252,6,249,-1,-1,-1
252,6,249,-1,-1,-1,258,2,250,-1,-1,-1
258,2,250,-1,-1,-1,258,1,251,-1,-1,-1
258,1,251,-1,-1,-1,255,0,252,-1,-1,-1
255,0,252,-1,-1,-1,259,0,253,-1,-1,-1
259,0,253,-1,-1,-1,258,0,254,-1,-1,-1
258,0,254,-1,-1,-1,277,5,255,-1,-1,-1
277,5,255,-1,-1,-1,261,0,256,-1,-1,-1
261,0,256,-1,-1,-1,259,2,257,-1,-1,-1
259,2,257,-1,-1,-1,255,3,258,-1,-1,-1
255,3,258,-1,-1,-1,255,7,259,-1,-1,-1
255,7,259,-1,-1,-1,243,0,260,-1,-1,-1
243,0,260,-1,-1,-1,223,0,261,-1,-1,-1
223,0,261,-1,-1,-1,215,14,262,-1,-1,-1
215,14,262,-1,-1,-1,197,4,263,-1,-1,-1
197,4,263,-1,-1,-1,162,20,264,-1,-1,-1
162,20,264,-1,-1,-1,158,9,265,-1,-1,-1
158,9,265,-1,-1,-1,122,0,266,-1,-1,-1
122,0,266,-1,-1,-1,127,0,267,-1,-1,-1
127,0,267,-1,-1,-1,110,15,268,-1,-1,-1
110,15,268,-1,-1,-1,93,0,269,-1,-1,-1
93,0,269,-1,-1,-1,87,2,270,-1,-1,-1
87,2,270,-1,-1,-1,98,19,271,-1,-1,-1
98,19,271,-1,-1,-1,99,15,272,-1,-1,-1
99,15,272,-1,-1,-1,63,39,273,225,53,273
63,39,273,225,53,273,43,79,274,197,79,274
43,79,274,197,79,274,-1,-1,-1,194,82,275
-1,-1,-1,194,82,275,-1,-1,-1,195,82,276
-1,-1,-1,195,82,276,-1,-1,-1,194,85,277
-1,-1,-1,194,85,277,-1,-1,-1,194,85,278
-1,-1,-1,194,85,278,-1,-1,-1,193,85,279
-1,-1,-1,193,85,279,187,256,280,228,273,280
187,256,280,228,273,280,198,198,281,190,275,281
198,198,281,190,275,281,-1,-1,-1,222,272,282
-1,-1,-1,230,271,284,-1,-1,-1,221,270,285
-1,-1,-1,221,270,285,-1,-1,-1,231,275,286
237,259,288,284,275,288,-1,-1,-1,240,275,289
-1,-1,-1,240,275,289,219,251,290,269,274,290
198,60,324,-1,-1,-1,293,136,325,-1,-1,-1
293,136,325,-1,-1,-1,0,129,326,-1,-1,-1
0,129,326,-1,-1,-1,0,133,327,-1,-1,-1
0,133,327,-1,-1,-1,0,120,328,-1,-1,-1
0,120,328,-1,-1,-1,0,120,329,-1,-1,-1
0,120,329,-1,-1,-1,7,123,330,-1,-1,-1
7,123,330,-1,-1,-1,11,127,331,-1,-1,-1
11,127,331,-1,-1,-1,2,123,332,-1,-1,-1
2,123,332,-1,-1,-1,0,118,333,-1,-1,-1
0,118,333,-1,-1,-1,0,119,334,-1,-1,-1
0,119,334,-1,-1,-1,0,113,335,-1,-1,-1
0,113,335,-1,-1,-1,8,120,336,-1,-1,-1
8,120,336,-1,-1,-1,20,123,337,-1,-1,-1
20,123,337,-1,-1,-1,0,54,338,-1,-1,-1
0,54,338,-1,-1,-1,43,86,339,-1,-1,-1
43,86,339,-1,-1,-1,19,102,340,-1,-1,-1
19,102,340,-1,-1,-1,13,97,341,-1,-1,-1
13,97,341,-1,-1,-1,0,111,342,-1,-1,-1
0,111,342,-1,-1,-1,201,113,343,-1,-1,-1
201,113,343,-1,-1,-1,180,131,344,-1,-1,-1
180,131,344,-1,-1,-1,144,75,345,-1,-1,-1
144,75,345,-1,-1,-1,82,53,346,-1,-1,-1
82,53,346,-1,-1,-1,91,81,347,224,184,347
91,81,347,224,184,347,64,90,348,-1,-1,-1
64,90,348,-1,-1,-1,38,121,349,-1,-1,-1
38,121,349,-1,-1,-1,65,106,350,-1,-1,-1
65,106,350,-1,-1,-1,43,85,351,-1,-1,-1
43,85,351,-1,-1,-1,27,101,352,-1,-1,-1
27,101,352,-1,-1,-1,15,99,353,-1,-1,-1
15,99,353,-1,-1,-1,0,93,354,-1,-1,-1
0,93,354,-1,-1,-1,23,102,355,-1,-1,-1
23,102,355,-1,-1,-1,18,99,356,-1,-1,-1
18,99,356,-1,-1,-1,13,80,357,-1,-1,-1
13,80,357,-1,-1,-1,1,82,358,-1,-1,-1
1,82,358,-1,-1,-1,1,81,359,-1,-1,-1
1,81,359,-1,-1,-1,17,80,360,-1,-1,-1
17,80,360,-1,-1,-1,41,87,361,-1,-1,-1
41,87,361,-1,-1,-1,35,94,362,-1,-1,-1
35,94,362,-1,-1,-1,180,127,363,-1,-1,-1
180,127,363,-1,-1,-1,66,0,364,-1,-1,-1
66,0,364,-1,-1,-1,112,73,365,-1,-1,-1
112,73,365,-1,-1,-1,14,0,366,-1,-1,-1
14,0,366,-1,-1,-1,161,64,367,-1,-1,-1
161,64,367,-1,-1,-1,0,51,368,-1,-1,-1
58,17,373,-1,-1,-1,60,17,374,-1,-1,-1
60,17,374,-1,-1,-1,61,0,375,-1,-1,-1
61,0,375,-1,-1,-1,62,0,376,-1,-1,-1
62,0,376,-1,-1,-1,51,0,377,-1,-1,-1
51,0,377,-1,-1,-1,52,0,378,-1,-1,-1
52,0,378,-1,-1,-1,43,0,379,-1,-1,-1
43,0,379,-1,-1,-1,41,0,380,-1,-1,-1
41,0,380,-1,-1,-1,62,0,381,32,11,381
62,0,381,32,11,381,60,0,382,30,9,382
60,0,382,30,9,382,34,29,383,-1,-1,-1
34,29,383,-1,-1,-1,34,28,384,-1,-1,-1
34,28,384,-1,-1,-1,32,7,385,98,30,385
32,7,385,98,30,385,33,10,386,98,31,386
33,10,386,98,31,386,17,7,387,-1,-1,-1
17,7,387,-1,-1,-1,14,6,388,-1,-1,-1
14,6,388,-1,-1,-1,6,0,389,-1,-1,-1
6,0,389,-1,-1,-1,1,0,390,-1,-1,-1
1,0,390,-1,-1,-1,11,0,391,-1,-1,-1
11,0,391,-1,-1,-1,10,0,392,-1,-1,-1
23,0,394,-1,-1,-1,47,0,395,82,24,395
47,0,395,82,24,395,42,34,396,-1,-1,-1
42,34,396,-1,-1,-1,23,56,397,60,21,397
23,56,397,60,21,397,31,10,398,81,11,398
31,10,398,81,11,398,10,83,399,51,63,399
10,83,399,51,63,399,17,73,400,83,46,400
17,73,400,83,46,400,17,72,401,84,46,401
17,72,401,84,46,401,26,87,402,-1,-1,-1
26,87,402,-1,-1,-1,28,87,403,-1,-1,-1
28,87,403,-1,-1,-1,33,91,404,-1,-1,-1
33,91,404,-1,-1,-1,32,92,405,-1,-1,-1
32,92,405,-1,-1,-1,15,85,406,8,109,406
15,85,406,8,109,406,15,86,407,10,110,407
15,86,407,10,110,407,27,76,408,24,119,408
27,76,408,24,119,408,8,0,409,332,154,409
8,0,409,332,154,409,13,0,410,-1,-1,-1
13,0,410,-1,-1,-1,11,0,411,-1,-1,-1
11,0,411,-1,-1,-1,14,0,412,393,162,412
14,0,412,393,162,412,9,0,413,-1,-1,-1
9,0,413,-1,-1,-1,12,0,414,310,160,414
12,0,414,310,160,414,10,0,415,-1,-1,-1
10,0,415,-1,-1,-1,9,0,416,355,160,416
9,0,416,355,160,416,12,0,417,332,153,417
12,0,417,332,153,417,13,0,418,-1,-1,-1
13,0,418,-1,-1,-1,10,0,419,-1,-1,-1
10,0,419,-1,-1,-1,9,0,420,394,163,420
9,0,420,394,163,420,9,0,421,323,149,421
9,0,421,323,149,421,18,0,422,291,115,422
18,0,422,291,115,422,14,0,423,-1,-1,-1
14,0,423,-1,-1,-1,14,0,424,356,159,424
14,0,424,356,159,424,13,0,425,330,153,425
13,0,425,330,153,425,18,0,426,-1,-1,-1
18,0,426,-1,-1,-1,16,0,427,-1,-1,-1
16,0,427,-1,-1,-1,13,0,428,394,163,428
13,0,428,394,163,428,12,0,429,325,150,429
12,0,429,325,150,429,18,0,430,312,159,430
18,0,430,312,159,430,15,0,431,-1,-1,-1
15,0,431,-1,-1,-1,14,0,432,355,161,432
14,0,432,355,161,432,14,0,433,328,153,433
14,0,433,328,153,433,17,0,434,-1,-1,-1
17,0,434,-1,-1,-1,16,0,435,-1,-1,-1
16,0,435,-1,-1,-1,15,0,436,376,158,436
15,0,436,376,158,436,12,0,437,-1,-1,-1
12,0,437,-1,-1,-1,21,0,438,261,162,438
21,0,438,261,162,438,29,0,439,-1,-1,-1
29,0,439,-1,-1,-1,29,0,440,-1,-1,-1
29,0,440,-1,-1,-1,0,0,441,324,157,441
0,0,441,324,157,441,0,0,442,228,128,442
0,0,442,228,128,442,0,0,443,-1,-1,-1
0,0,443,-1,-1,-1,0,0,444,-1,-1,-1
0,0,444,-1,-1,-1,0,0,445,-1,-1,-1
0,0,445,-1,-1,-1,0,0,446,-1,-1,-1
0,0,446,-1,-1,-1,0,0,447,-1,-1,-1
0,0,447,-1,-1,-1,0,0,448,-1,-1,-1
0,0,448,-1,-1,-1,0,0,449,21,26,449
0,0,449,21,26,449,0,0,450,21,26,450
0,0,450,21,26,450,0,0,451,20,27,451
0,0,451,20,27,451,0,0,452,21,27,452
0,0,452,21,27,452,0,0,453,20,26,453
0,0,453,20,26,453,0,0,454,21,26,454
0,0,454,21,26,454,0,0,455,23,28,455
0,0,455,23,28,455,0,0,456,22,27,456
0,0,456,22,27,456,0,0,457,22,27,457
0,0,457,22,27,457,0,0,458,21,28,458
0,0,458,21,28,458,0,0,459,22,28,459
0,0,459,22,28,459,0,0,460,22,27,460
0,0,460,22,27,460,0,0,461,23,27,461
0,0,461,23,27,461,0,0,462,23,29,462
0,0,462,23,29,462,0,0,463,22,28,463
0,0,463,22,28,463,0,0,464,-1,-1,-1
0,0,464,-1,-1,-1,0,0,465,-1,-1,-1
0,0,465,-1,-1,-1,0,0,466,400,170,466
0,0,466,400,170,466,0,0,467,401,170,467
0,0,467,401,170,467,0,0,468,419,173,468
0,0,468,419,173,468,0,0,469,419,174,469
0,0,469,419,174,469,0,0,470,422,173,470
0,0,470,422,173,470,34,0,471,423,174,471
34,0,471,423,174,471,34,0,472,415,166,472
34,0,472,415,166,472,32,0,473,415,165,473
32,0,473,415,165,473,20,0,474,416,168,474
20,0,474,416,168,474,18,0,475,410,166,475
18,0,475,410,166,475,18,0,476,414,173,476
18,0,476,414,173,476,20,0,477,413,172,477
20,0,477,413,172,477,20,0,478,413,172,478
20,0,478,413,172,478,20,0,479,413,172,479
20,0,479,413,172,479,18,0,480,412,172,480
18,0,480,412,172,480,19,0,481,412,171,481
19,0,481,412,171,481,19,0,482,412,171,482
19,0,482,412,171,482,20,0,483,412,171,483
20,0,483,412,171,483,20,0,484,411,171,484
20,0,484,411,171,484,19,0,485,410,171,485
19,0,485,410,171,485,20,0,486,411,171,486
20,0,486,411,171,486,20,0,487,411,171,487
20,0,487,411,171,487,17,0,488,411,171,488
17,0,488,411,171,488,18,0,489,410,169,489
18,0,489,410,169,489,17,0,490,413,176,490
17,0,490,413,176,490,17,0,491,415,178,491
17,0,491,415,178,491,17,0,492,422,177,492
17,0,492,422,177,492,17,0,493,-1,-1,-1
17,0,493,-1,-1,-1,17,0,494,-1,-1,-1
17,0,494,-1,-1,-1,17,0,495,-1,-1,-1
17,0,495,-1,-1,-1,15,0,496,464,158,496
15,0,496,464,158,496,14,0,497,465,152,497
14,0,497,465,152,497,0,0,498,449,157,498
0,0,498,449,157,498,0,0,499,449,157,499
